name,N,E
札幌市,43.062083, 141.354361
青森市,40.822, 140.747222
盛岡市,39.701972, 141.154389
仙台市,38.268111, 140.869333
秋田市,39.71975, 140.102222
山形市,38.255389, 140.339528
福島市,37.760889, 140.473361
水戸市,36.365833, 140.471111
宇都宮市,36.555028, 139.882806
前橋市,36.389361, 139.063306
さいたま市,35.861611, 139.645333
千葉市,35.607333, 140.106333
東京都区部,35.693833, 139.703306
横浜市,35.443722, 139.638111
新潟市,37.916111, 139.036472
富山市,36.695861, 137.213611
金沢市,36.561, 136.656556
福井市,36.064, 136.219556
甲府市,35.662139, 138.56825
長野市,36.648528, 138.194222
岐阜市,35.423333, 136.760611
静岡市,34.975583, 138.382556
名古屋市,35.181361, 136.906278
津市,34.718639, 136.5055
大津市,35.01775, 135.854806
京都市,35.011611, 135.768111
大阪市,34.693722, 135.502361
神戸市,34.689444, 135.19575
奈良市,34.685167, 135.804833
和歌山市,34.230472, 135.170861
鳥取市,35.500972, 134.235222
松江市,35.468056, 133.048667
岡山市,34.65525, 133.91975
広島市,34.385194, 132.455194
山口市,34.178056, 131.473694
徳島市,34.070278, 134.554917
高松市,34.342778, 134.046444
松山市,33.839222, 132.765528
高知市,33.558806, 133.531111
福岡市,33.590083, 130.401611
佐賀市,33.263528, 130.300778
長崎市,32.750278, 129.877778
熊本市,32.803056, 130.707833
大分市,33.239528, 131.609194
宮崎市,31.907694, 131.420306
鹿児島市,31.596667, 130.557306
那覇市,26.212417, 127.679083
